"","Recording_ID","Recordist","License","Url"
"82",290037,"J.R. Rigby","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/290037"
"83",282287,"Albert Lastukhin & Max Lastukhin","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/282287"
"84",282286,"Albert Lastukhin & Max Lastukhin","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/282286"
"85",233656,"David Sarkozi","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/233656"
"86",216382,"Dory Owen","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/216382"
"87",192728,"Paul Marvin","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/192728"
"88",174398,"Paul Marvin","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/174398"
"89",168055,"Paul Driver","//creativecommons.org/licenses/by-nc-sa/3.0/","//www.xeno-canto.org/168055"
"90",168051,"Paul Driver","//creativecommons.org/licenses/by-nc-sa/3.0/","//www.xeno-canto.org/168051"
"91",168047,"Paul Driver","//creativecommons.org/licenses/by-nc-sa/3.0/","//www.xeno-canto.org/168047"
"92",168045,"Paul Driver","//creativecommons.org/licenses/by-nc-sa/3.0/","//www.xeno-canto.org/168045"
"93",168041,"Paul Driver","//creativecommons.org/licenses/by-nc-sa/3.0/","//www.xeno-canto.org/168041"
"94",168037,"Paul Driver","//creativecommons.org/licenses/by-nc-sa/3.0/","//www.xeno-canto.org/168037"
"95",168011,"Paul Driver","//creativecommons.org/licenses/by-nc-sa/3.0/","//www.xeno-canto.org/168011"
"96",168010,"Paul Driver","//creativecommons.org/licenses/by-nc-sa/3.0/","//www.xeno-canto.org/168010"
"97",168009,"Paul Driver","//creativecommons.org/licenses/by-nc-sa/3.0/","//www.xeno-canto.org/168009"
"98",168008,"Paul Driver","//creativecommons.org/licenses/by-nc-sa/3.0/","//www.xeno-canto.org/168008"
"99",168007,"Paul Driver","//creativecommons.org/licenses/by-nc-sa/3.0/","//www.xeno-canto.org/168007"
"100",168006,"Paul Driver","//creativecommons.org/licenses/by-nc-sa/3.0/","//www.xeno-canto.org/168006"
"101",163254,"Daniel Parker","//creativecommons.org/licenses/by-nc-sa/3.0/","//www.xeno-canto.org/163254"
"102",145940,"Paul Marvin","//creativecommons.org/licenses/by-nc-sa/3.0/","//www.xeno-canto.org/145940"
"103",143797,"Paul Marvin","//creativecommons.org/licenses/by-nc-sa/3.0/","//www.xeno-canto.org/143797"
"104",138583,"Kim Allen","//creativecommons.org/licenses/by-nc-sa/3.0/","//www.xeno-canto.org/138583"
"105",137054,"Mike Nelson","//creativecommons.org/licenses/by-nc-sa/3.0/","//www.xeno-canto.org/137054"
"106",131068,"Gary W Thorburn","//creativecommons.org/licenses/by-nc-sa/3.0/","//www.xeno-canto.org/131068"
"107",101903,"Daniel Lane","//creativecommons.org/licenses/by-nc-nd/2.5/","//www.xeno-canto.org/101903"
"108",100238,"Mike Nelson","//creativecommons.org/licenses/by-nc-nd/2.5/","//www.xeno-canto.org/100238"
"109",83517,"Jelmer Poelstra","//creativecommons.org/licenses/by-nc-nd/2.5/","//www.xeno-canto.org/83517"
"110",77286,"Mike Nelson","//creativecommons.org/licenses/by-nc-nd/2.5/","//www.xeno-canto.org/77286"
"111",54456,"Mike Nelson","//creativecommons.org/licenses/by-nc-sa/3.0/","//www.xeno-canto.org/54456"
"112",42452,"Stuart Fisher","//creativecommons.org/licenses/by-nc-nd/2.5/","//www.xeno-canto.org/42452"
"113",31002,"Allen T. Chartier","//creativecommons.org/licenses/by-nc-sa/3.0/","//www.xeno-canto.org/31002"
"114",29512,"Andrew Spencer","//creativecommons.org/licenses/by-nc-nd/2.5/","//www.xeno-canto.org/29512"
"115",16868,"Allen T. Chartier","//creativecommons.org/licenses/by-nc-sa/3.0/","//www.xeno-canto.org/16868"
"116",15185,"Chris Parrish","//creativecommons.org/licenses/by-nc-nd/2.5/","//www.xeno-canto.org/15185"
"117",542144,"Joseph Keating","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/542144"
"118",498953,"Jacob Saucier","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/498953"
"119",382862,"Bobby Wilcox","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/382862"
"120",305160,"Matt Brady","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/305160"
"121",254692,"Antonio Xeira","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/254692"
"122",243409,"Maxime Aubert","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/243409"
